x,y,z,time
11.343728,-3.687071,-0.612916,72490140817056.000000
7.824251,-3.471592,-1.005565,72490301992889.000000
9.236830,-3.859453,0.292093,72491603038566.000000
7.867347,-4.927267,1.058237,72491903749503.000000
6.718130,-4.941632,1.321599,72492041697055.000000
11.607090,-6.162675,0.847547,72492181291014.000000
10.319010,-6.588843,0.924162,72492322043045.000000
12.861651,-5.094861,0.847547,72492863767420.000000
12.095507,-4.802769,1.359907,72492882735909.000000
12.583924,-5.114015,1.331176,72492942155909.000000
6.971915,-4.826711,1.259350,72493082838982.000000
6.416461,-4.783615,0.790087,72493123043097.000000
6.325481,-4.544195,0.679953,72493143692472.000000
6.842628,-4.563348,1.015141,72493182870440.000000
6.938396,-4.812346,1.292869,72493222421847.000000
8.657434,-5.698200,1.604115,72493263636169.000000
10.362105,-6.335058,1.393425,72493284392367.000000
11.903971,-6.804321,1.173159,72493303508149.000000
12.287044,-6.703765,1.063026,72493343017628.000000
11.966220,-6.545747,1.479617,72493363213722.000000
13.589489,-6.794744,1.824382,72493382585336.000000
14.336480,-7.048530,1.728614,72493403239294.000000
11.358093,-6.804321,1.517924,72493483366742.000000
13.560759,-4.390966,-0.866701,72493584640909.000000
11.760319,-3.950433,-0.507571,72493622853461.000000
10.831368,-3.548207,-0.488417,72493643450805.000000
8.939949,-3.347094,-0.708684,72493683524294.000000
8.686164,-3.409343,-0.809240,72493704275336.000000
8.250419,-3.055001,-1.048660,72493743308201.000000
7.991845,-2.892196,-1.072602,72493764707992.000000
7.900866,-2.815581,-1.019930,72493803722575.000000
7.967903,-2.863465,-1.110910,72493823751534.000000
8.705317,-3.289633,-1.110910,72493843739034.000000
9.959879,-3.466804,-1.312023,72493863124971.000000
8.652645,-4.103662,-1.019930,72493905963721.000000
8.777143,-4.659117,-0.574608,72493923745857.000000
10.333375,-5.793968,0.742203,72493964290075.000000
10.333375,-5.793968,0.742203,72493983269242.000000
11.037270,-6.885724,2.097321,72494023616430.000000
12.014104,-6.382942,2.839523,72494044247263.000000
12.014104,-6.382942,2.839523,72494063732211.000000
13.172897,-5.980716,2.451663,72494083934555.000000
13.077129,-4.807557,1.422156,72494124347784.000000
12.378023,-4.529830,1.584962,72494143432836.000000
10.256760,-4.309563,1.810017,72494183505336.000000
6.900089,-5.535394,1.996764,72494245261377.000000
6.521805,-5.621585,1.446098,72494263606534.000000
6.550536,-5.037400,0.943315,72494324204450.000000
6.928820,-5.190629,1.168370,72494343659659.000000
8.973468,-5.726931,1.939303,72494425478409.000000
13.019669,-6.421249,0.943315,72494463892471.000000
13.354857,-6.550536,0.301669,72494484877679.000000
12.109872,-6.363788,0.847547,72494524405909.000000
13.613431,-6.871359,1.709460,72494565681742.000000
13.311762,-7.503428,1.149217,72494583902315.000000
10.946290,-3.213019,0.153229,72494784108825.000000
9.399636,-3.361459,0.081403,72494824220388.000000
8.164227,-2.983175,-0.512359,72494889637367.000000
7.541735,-2.949656,-0.732626,72494925085596.000000
6.856994,-2.542642,-0.785298,72494944311898.000000
9.974244,-3.926491,-0.861913,72495005274606.000000
11.085154,-4.352659,-0.718261,72495045020700.000000
9.811439,-4.113238,-0.325611,72495064445023.000000
9.457097,-4.180276,0.565032,72495085004554.000000
12.315774,-5.415684,1.173159,72495125059033.000000
12.579136,-5.200206,0.814029,72495165608460.000000
12.239159,-5.137957,0.972046,72495184557992.000000
13.330915,-5.066131,1.819593,72495225164346.000000
13.986926,-5.329493,1.091756,72495245689971.000000
13.551182,-5.329493,0.517148,72495264677054.000000
12.109872,-5.228937,0.584185,72495285395544.000000
10.472239,-4.362236,0.857124,72495305680804.000000
9.509769,-3.883395,1.201889,72495325307575.000000
6.967127,-4.625597,1.134852,72495384763408.000000
6.210559,-4.084508,0.392649,72495424899971.000000
6.416461,-3.998317,0.114922,72495486510023.000000
6.761226,-4.084508,0.325611,72495506566585.000000
7.632715,-4.845864,0.780510,72495545016950.000000
10.759542,-6.038177,0.569820,72495585416481.000000
12.315774,-6.315904,0.086191,72495605619346.000000
13.244724,-6.861782,-0.292093,72495625005908.000000
12.665327,-6.928820,0.536301,72495665551741.000000
13.019669,-6.732495,1.034295,72495685656950.000000
12.296620,-7.149086,1.671153,72495725681377.000000
10.572795,-7.321469,1.695095,72495745185700.000000
10.745177,-7.666234,0.957681,72495785192471.000000
13.527240,-6.296751,0.143652,72495845882054.000000
12.574347,-4.865018,0.062249,72495886238356.000000
9.634268,-3.576937,0.474052,72495945672471.000000
9.198523,-3.380613,0.349553,72495967440752.000000
8.781932,-3.351882,0.119710,72495985421741.000000
8.710106,-3.160346,0.143652,72496006004241.000000
8.590396,-3.246537,-0.110133,72496026323981.000000
8.073248,-2.743755,-0.435745,72496065563929.000000
8.006210,-2.413355,-0.536301,72496086220700.000000
8.552089,-3.064578,-0.660800,72496126202783.000000
10.022128,-3.988740,-0.253785,72496166632262.000000
