x,y,z,time
9.797073,-4.074931,2.097321,72475804832739.000000
10.242394,-4.438850,2.121263,72475824159301.000000
10.156203,-3.912126,1.872266,72475843612270.000000
10.544065,-4.362236,1.939303,72475865511228.000000
11.966220,-4.979939,2.078167,72475884671228.000000
14.164097,-5.166687,1.120486,72475923743624.000000
11.372458,-4.888960,0.426168,72475984346853.000000
9.107543,-5.085284,0.512359,72476024386905.000000
8.154651,-5.650316,-0.292093,72476085330030.000000
8.537724,-5.837064,-0.239420,72476123919405.000000
9.974244,-6.641516,0.474052,72476185679874.000000
10.927136,-7.249643,0.402226,72476204030238.000000
11.238382,-7.833828,0.440533,72476224589145.000000
11.382035,-7.939173,0.866701,72476266779301.000000
11.133038,-7.929596,0.459687,72476285086332.000000
12.425907,-7.752425,0.675165,72476344727843.000000
13.268666,-7.929596,0.584185,72476364239457.000000
12.014104,-7.556100,0.488417,72476404307426.000000
11.851298,-7.153875,0.177171,72476425525863.000000
12.550406,-6.833052,0.100556,72476444341332.000000
13.747506,-6.742072,-0.316035,72476464847947.000000
14.844050,-5.535394,-1.695095,72476525034665.000000
13.072341,-3.193865,-1.134852,72476584987217.000000
11.324574,-3.519476,-0.823605,72476625516905.000000
10.108319,-3.557784,-0.828394,72476665888520.000000
9.528923,-3.505111,-0.823605,72476686006592.000000
9.193734,-3.572149,-0.890643,72476705142165.000000
8.413225,-3.351882,-1.096544,72476745578415.000000
7.872135,-3.576937,-1.048660,72476764931697.000000
9.126697,-4.367024,-0.067038,72476827086697.000000
8.662222,-3.931279,-0.483629,72476844755238.000000
7.637504,-4.041412,-0.363919,72476865387165.000000
10.017340,-5.827487,1.910573,72476924778676.000000
10.793061,-5.961562,1.417367,72476964887426.000000
10.687716,-6.196194,1.412579,72477005103780.000000
11.501745,-6.885724,2.245761,72477025831696.000000
12.186486,-5.813122,0.751779,72477085957217.000000
11.592725,-5.358223,0.694318,72477105642009.000000
9.174581,-5.444415,1.403002,72477145616696.000000
8.159439,-5.544971,1.728614,72477165076488.000000
7.254431,-5.827487,0.847547,72477205519353.000000
7.924808,-6.081272,0.641646,72477245622582.000000
7.920019,-5.837064,0.885855,72477266386592.000000
7.872135,-5.750873,1.221043,72477286789144.000000
8.092402,-5.803545,1.465251,72477305836332.000000
8.542512,-6.076484,1.776498,72477345886384.000000
9.045294,-6.354211,1.733402,72477365298623.000000
12.358870,-7.067683,0.493206,72477546151280.000000
12.425907,-6.181829,-0.636858,72477605540655.000000
12.382812,-5.741296,-0.847547,72477626680394.000000
12.459426,-5.501875,-1.316811,72477645579092.000000
12.310986,-4.955997,-1.623269,72477666247738.000000
12.129025,-4.630386,-1.948880,72477686666488.000000
9.117120,-3.572149,-0.972046,72477786310498.000000
8.930372,-3.596091,-0.852336,72477805812113.000000
8.590396,-3.734955,-0.833182,72477867557373.000000
8.638280,-3.902549,-0.794875,72477925900134.000000
9.993398,-4.156334,-0.545878,72477966249092.000000
9.629479,-3.854665,-0.627281,72477987953363.000000
9.141062,-3.706224,-0.679953,72478005958623.000000
9.859323,-4.802769,0.287304,72478045999196.000000
11.051635,-5.932832,0.598550,72478126192581.000000
11.382035,-6.651093,1.537078,72478188584925.000000
12.459426,-6.880936,1.297657,72478206200394.000000
11.477803,-5.597643,0.330400,72478267677217.000000
8.714894,-5.406107,1.072602,72478306924404.000000
7.536947,-5.521029,1.335965,72478347420081.000000
6.861782,-5.669470,1.297657,72478366662894.000000
6.339846,-5.626374,1.192312,72478386937008.000000
6.138733,-5.640739,1.292869,72478406386071.000000
5.621585,-5.401319,1.752556,72478447041748.000000
5.449203,-5.142745,2.063802,72478468270915.000000
5.530606,-5.013458,2.403779,72478489263675.000000
9.006987,-6.210559,1.958457,72478526613415.000000
11.382035,-6.665458,1.331176,72478547102685.000000
12.291832,-6.517017,-0.134075,72478606640394.000000
15.069105,-7.642292,-0.478840,72478667256227.000000
12.526464,-7.838616,-0.560243,72478727055550.000000
12.215217,-7.335834,-1.000776,72478747313779.000000
12.315774,-6.387730,-1.699883,72478787917946.000000
11.975797,-5.683835,-1.867477,72478807404404.000000
10.477027,-4.137180,-1.206678,72478847578779.000000
9.375694,-3.811569,-0.742203,72478867472790.000000
8.346188,-3.519476,-0.440533,72478887910602.000000
7.287950,-3.581726,-1.067814,72478947545706.000000
7.556100,-3.778050,-1.187524,72478967507164.000000
7.474698,-3.380613,-0.560243,72479027636019.000000
11.549629,-5.200206,-1.182736,72479149545967.000000
