x,y,z,time
9.069236,-4.893748,1.436521,73096575975158.000000
8.298303,-5.137957,1.422156,73096595375210.000000
7.738060,-4.841076,1.244985,73096616022398.000000
7.120356,-4.347870,1.762132,73096675452606.000000
7.426814,-4.510676,1.996764,73096715513231.000000
7.623138,-4.893748,1.757344,73096757355991.000000
11.204864,-6.143522,1.197101,73096817854429.000000
12.310986,-6.004658,0.201113,73096856214116.000000
12.196063,-6.019023,0.268151,73096875700366.000000
13.512875,-6.028600,0.593762,73096896261304.000000
13.512875,-6.028600,0.593762,73096916034637.000000
12.569559,-6.651093,0.742203,73096957103543.000000
11.152191,-6.258443,0.670376,73096995858856.000000
14.025233,-6.196194,0.541090,73097035861460.000000
15.265430,-5.937620,0.354342,73097056547554.000000
15.480908,-5.607220,0.043096,73097075922293.000000
14.887146,-5.094861,-0.239420,73097117775054.000000
14.858416,-4.007894,-0.622492,73097136536929.000000
13.460202,-2.906561,-0.397437,73097156952502.000000
10.826580,-2.964022,-0.435745,73097196020731.000000
10.160992,-2.911349,-0.335188,73097216659793.000000
9.461885,-2.686294,-0.416591,73097236175470.000000
8.599973,-2.499547,-0.670376,73097276546356.000000
7.565677,-1.407791,-0.876278,73097317501720.000000
7.824251,-2.269703,-0.675165,73097357839689.000000
8.259995,-2.671929,-0.517148,73097376917241.000000
8.868123,-2.293645,-0.713472,73097396245522.000000
8.116343,-2.504335,-0.368707,73097436590001.000000
10.860099,-4.180276,1.417367,73097477020106.000000
12.148179,-4.338294,1.723825,73097496907449.000000
13.579912,-4.280833,1.321599,73097557455783.000000
14.183250,-4.941632,2.217031,73097596537345.000000
14.839262,-5.415684,1.675941,73097618860939.000000
14.413095,-5.238513,0.770933,73097657779481.000000
11.616667,-4.721366,0.100556,73097697179637.000000
10.280702,-4.568137,0.277727,73097716586251.000000
8.078036,-5.248090,0.905008,73097758144897.000000
7.359776,-5.329493,0.689530,73097777223647.000000
7.264008,-4.831499,0.248997,73097818408960.000000
