x,y,z,time
-1.376367,0.416309,-1.818164,72972622250257.000000
0.639331,-0.290991,1.736389,72972822786664.000000
1.800110,-0.004248,1.839404,72973022642028.000000
1.185205,-0.422681,1.476196,72973222924476.000000
0.623401,-0.212402,1.032275,72973423126820.000000
-1.357251,-0.045667,-2.737866,72973623878122.000000
-1.287158,0.514014,-0.871912,72973823995257.000000
-0.529944,0.254883,-1.280786,72974023752965.000000
-0.908020,-0.230457,-0.106201,72974224315986.000000
2.536084,-0.289929,1.793738,72974424213903.000000
0.938818,0.500208,2.678394,72974624459996.000000
0.138062,-0.861292,-2.153760,72974824634580.000000
-2.281201,0.469409,-0.708362,72975024828277.000000
-0.201782,0.019116,-1.367871,72975225284111.000000
-1.036523,-0.229395,0.454541,72975426992861.000000
3.104260,-0.490649,1.776746,72975625485933.000000
0.284619,0.637207,2.843005,72975826213381.000000
-0.230457,-0.815625,-3.447290,72976026991350.000000
-1.789490,0.427991,0.281433,72976226205048.000000
-0.059473,0.091333,-1.265918,72976427047652.000000
-0.021240,-0.466223,0.450293,72976626569475.000000
1.882947,-0.054163,2.752734,72976827035152.000000
0.784827,0.194348,0.767834,72977027678902.000000
-1.494251,-0.124255,-2.953455,72977227258902.000000
-0.767834,0.053101,-0.850671,72977427437495.000000
-0.779517,0.105139,-0.598975,72977628087964.000000
0.269751,-0.243201,0.759338,72977827823641.000000
1.503809,0.027612,2.537146,72978029889787.000000
0.579858,0.296301,0.690308,72978229276401.000000
-1.161841,-0.260193,-2.163318,72978430296974.000000
-0.774207,0.140186,-2.084729,72978628726818.000000
-0.732788,0.070093,-0.775269,72978828935724.000000
1.723645,-0.502332,2.468115,72979029168015.000000
0.893152,0.439673,3.128687,72979229388901.000000
0.349402,-0.630835,-1.054578,72979430471036.000000
-2.212170,-0.246387,-2.778223,72979629820255.000000
-0.206030,0.100891,-1.212817,72979830019161.000000
-1.032275,-0.252759,-0.273999,72980030457494.000000
3.629956,-0.365332,2.806897,72980230734994.000000
0.295239,0.949439,2.331116,72980430666973.000000
-0.167798,-0.913330,-2.388464,72980631376921.000000
-2.734680,-0.022302,-1.468762,72980831114317.000000
0.156116,-0.042480,-1.354065,72981031416452.000000
-0.538440,-0.327100,1.334949,72981231592025.000000
2.978943,0.087085,2.566882,72981431759837.000000
0.642517,0.763586,0.680750,72981631981869.000000
0.583044,-1.082190,-2.762293,72981832338014.000000
-1.513367,0.063721,-0.391882,72982032401191.000000
-0.653137,-0.082837,-1.040771,72982233350202.000000
0.748718,-0.475781,0.194348,72982434047806.000000
0.408875,0.762524,3.115942,72982634662962.000000
0.220898,0.283557,-0.435425,72982834757597.000000
-0.676501,-0.383386,-2.474487,72983034967181.000000
