x,y,z,time
8.724471,-7.307104,0.225055,71848364590374.000000
8.475474,-8.078036,0.474052,71848385487665.000000
8.293514,-9.811439,1.719037,71848425300582.000000
8.034941,-8.882488,0.890643,71848465367040.000000
8.149862,-8.365341,1.125275,71848505312561.000000
8.192958,-6.483498,0.972046,71848585568395.000000
9.490616,-4.970363,-0.306458,71848705552145.000000
9.428367,-4.438850,0.478840,71848745569019.000000
9.868899,-3.998317,0.081403,71848765668290.000000
11.722012,-3.217807,-0.225055,71848826193811.000000
11.822568,-3.361459,-0.670376,71848845137405.000000
12.320562,-2.480393,-1.264138,71848905856988.000000
12.320562,-2.480393,-1.264138,71848925538759.000000
10.539276,-4.036624,-0.608127,71848946597144.000000
10.539276,-4.036624,-0.608127,71848965314071.000000
9.035717,-3.605668,-0.670376,71848986332457.000000
8.264784,-4.855441,-0.181959,71849106504749.000000
9.418790,-5.262455,-0.124498,71849146022405.000000
9.524135,-5.492299,-0.095768,71849165852196.000000
9.897630,-6.263232,-0.258574,71849206757248.000000
10.199299,-6.895301,-0.526724,71849226160946.000000
11.444284,-7.766790,-0.814029,71849267237405.000000
10.587160,-7.374141,-0.679953,71849306209019.000000
10.649409,-6.641516,-0.588974,71849325859280.000000
12.181698,-6.421249,-0.627281,71849346204957.000000
12.306197,-6.464345,-0.699107,71849365687301.000000
11.827356,-6.818686,-0.416591,71849386249071.000000
12.641385,-6.952762,-1.134852,71849445866155.000000
13.910312,-6.545747,-1.613692,71849467096832.000000
16.347609,-5.530606,-3.725378,71849508274488.000000
16.663643,-4.745308,-4.458004,71849525876988.000000
14.413095,-2.930503,-4.185065,71849565911155.000000
11.142614,-3.193865,-2.106898,71849606324905.000000
10.874464,-3.318364,-2.480393,71849626844280.000000
9.591172,-3.624821,-2.537854,71849686465165.000000
9.150639,-3.136404,-2.432509,71849726198446.000000
8.949526,-2.638410,-2.461239,71849747420165.000000
8.690952,-2.710236,-2.585738,71849766220009.000000
8.346188,-3.327940,-2.365471,71849846779957.000000
8.274361,-3.696647,-1.503559,71849866889800.000000
9.959879,-4.639963,0.339977,71849926296467.000000
10.740389,-4.735731,0.995988,71849946979436.000000
10.874464,-4.548983,0.837971,71849966315946.000000
10.745177,-4.596867,1.000776,71849986950009.000000
14.820108,-5.291186,0.541090,71850066990738.000000
13.766660,-4.955997,-0.493206,71850107304123.000000
11.252748,-4.975151,-0.387861,71850147072300.000000
9.969456,-5.492299,0.229843,71850166820165.000000
8.499416,-6.234501,0.148441,71850206966154.000000
8.274361,-5.951985,-0.311246,71850227374800.000000
7.824251,-5.784391,-0.497994,71850268438446.000000
12.263102,-7.455544,-1.211466,71850428390008.000000
11.726800,-6.339846,-0.560243,71850467803238.000000
13.431472,-6.200983,-0.316035,71850486943706.000000
11.822568,-6.593631,-0.330400,71850547517665.000000
11.089942,-6.617573,-0.067038,71850567392040.000000
12.650962,-6.382942,-0.761356,71850607375060.000000
14.130578,-6.196194,-1.297657,71850627794904.000000
16.213533,-5.286397,-2.432509,71850668644123.000000
12.095507,-3.179500,-1.891419,71850747750008.000000
11.257536,-3.098097,-2.049437,71850767488029.000000
10.304645,-3.165135,-1.891419,71850789046310.000000
8.863335,-3.217807,-1.857901,71850848666206.000000
8.628703,-3.179500,-1.829170,71850887410894.000000
8.341399,-2.284068,-2.456451,71850927360425.000000
7.354988,-1.781286,-2.437297,71850967913289.000000
6.512228,-2.580950,-0.895431,71851028049748.000000
6.387730,-3.337517,-0.205901,71851049070060.000000
8.877700,-4.218584,0.244209,71851068094331.000000
12.263102,-4.989516,0.263362,71851127592664.000000
12.732365,-5.109226,0.416591,71851148727612.000000
13.833697,-5.329493,0.809240,71851168122352.000000
16.223110,-6.162675,0.933739,71851208442560.000000
13.096283,-7.738060,-1.182736,71851568206154.000000
12.296620,-7.867347,-1.221043,71851589592873.000000
11.870452,-6.057330,-0.373495,71851628680529.000000
13.369223,-5.722142,0.263362,71851649255008.000000
12.876017,-7.311892,0.239420,71851709588081.000000
12.004527,-7.000646,-0.210690,71851729193914.000000
12.435484,-6.665458,-0.694318,71851748802456.000000
13.838486,-6.320693,-1.115698,71851768851570.000000
14.848839,-5.631162,-1.680730,71851789670529.000000
16.017210,-4.520253,-2.068590,71851828958081.000000
11.540052,-3.131616,-1.584962,71851909026310.000000
10.539276,-2.815581,-1.517924,71851928905008.000000
9.059659,-3.131616,-1.335965,71851968473654.000000
8.791509,-3.169923,-1.326388,71851989965164.000000
7.517793,-1.513135,-1.297657,71852048601727.000000
7.249643,-1.752556,-0.565032,71852070143758.000000
7.393295,-1.939303,-0.158017,71852088622247.000000
7.738060,-1.877054,-0.756568,71852129226674.000000
7.905654,-1.240196,-0.823605,71852149937247.000000
7.671022,-2.269703,0.684742,71852209507716.000000
8.791509,-3.055001,1.144428,71852229350685.000000
12.689269,-3.567361,-0.531513,71852269382716.000000
13.254301,-3.083732,-1.101333,71852290135581.000000
14.911088,-4.975151,-0.416591,71852329771258.000000
16.950949,-5.549759,-0.349553,71852349553029.000000
17.041927,-7.474698,-2.260126,71852409310372.000000
11.099519,-5.252879,-0.746991,71852448993133.000000
8.777143,-5.884948,0.397437,71852489057456.000000
7.876924,-6.153099,0.550666,71852509643289.000000
6.574478,-3.782839,-0.272939,71852589827560.000000
7.019799,-4.371812,-0.430956,71852629776362.000000
7.436390,-5.133168,-0.402226,71852649921101.000000
10.050858,-6.483498,-1.268927,71852689479695.000000
10.874464,-7.613562,-1.838747,71852710874955.000000
10.931925,-7.843405,-1.910573,71852729319539.000000
11.056423,-7.177817,-1.527501,71852769994799.000000
13.675680,-6.876147,-0.191536,71852851184122.000000
13.455414,-6.986280,0.148441,71852889466362.000000
15.346833,-6.823475,-0.612916,71852910623914.000000
15.964537,-6.181829,-1.015141,71852930581205.000000
16.180016,-5.487510,-1.503559,71852950125164.000000
14.499286,-3.452439,-1.312023,71853010781726.000000
11.731588,-3.126827,-0.972046,71853051170372.000000
10.333375,-2.643199,-1.264138,71853090493705.000000
9.548077,-2.461239,-1.187524,71853110492924.000000
7.273585,-1.240196,-1.719037,71853190941674.000000
7.359776,-1.034295,-1.580173,71853211693549.000000
7.771579,-1.455675,-0.670376,71853249831882.000000
7.575254,-1.379060,-1.307234,71853311903393.000000
8.461109,-3.189077,0.545878,71853350658393.000000
12.239159,-4.491522,-0.914585,71853390600580.000000
13.326127,-4.414908,-1.163582,71853411375945.000000
8.877700,-5.238513,0.124498,71853611525059.000000
7.824251,-5.597643,0.191536,71853630896882.000000
4.740520,-5.382165,-0.421380,71853711411413.000000
5.358223,-5.023035,-0.071826,71853731184799.000000
5.985504,-5.104438,0.086191,71853750973236.000000
7.790732,-6.143522,0.282516,71853791510528.000000
8.762778,-7.062895,0.617704,71853811499799.000000
13.493721,-7.374141,-0.986411,71853871063236.000000
14.082694,-6.502652,0.172383,71853911156309.000000
15.514427,-5.999869,0.114922,71853930635736.000000
15.897499,-6.019023,0.119710,71853951179278.000000
11.999739,-5.951985,0.502782,71854011051726.000000
13.828909,-4.381389,-1.465251,71854090823236.000000
12.928689,-3.734955,-1.537078,71854112253965.000000
11.899182,-3.639187,-1.584962,71854131621413.000000
11.343728,-3.438074,-1.350330,71854151416778.000000
8.729259,-2.839523,-1.403002,71854211292090.000000
8.183381,-2.849100,-1.517924,71854232152924.000000
7.096414,-2.082955,-1.345541,71854291027872.000000
6.157887,-1.479617,-1.470040,71854331977351.000000
6.766014,-2.054225,-0.660800,71854352703392.000000
7.671022,-2.671929,-0.493206,71854371100319.000000
8.461109,-2.331953,-0.943315,71854412301569.000000
8.724471,-2.384625,-0.991199,71854431681986.000000
9.667787,-3.643975,0.138864,71854472180788.000000
12.842498,-4.869806,-0.172383,71854512872507.000000
13.733141,-4.237737,-0.995988,71854532223653.000000
14.097059,-4.601655,-1.110910,71854551859069.000000
13.977349,-5.975927,0.114922,71854592399486.000000
15.184027,-7.048530,-0.703895,71854631917090.000000
13.699622,-5.612009,-2.011129,71854673812194.000000
10.477027,-4.074931,-1.082179,71854713461465.000000
9.227253,-4.261679,-0.588974,71854732762298.000000
5.817910,-4.481946,-0.914585,71854811933913.000000
6.062119,-4.323928,-0.330400,71854852278653.000000
7.378930,-4.505888,0.292093,71854891908028.000000
11.367670,-5.501875,-0.335188,71854952240736.000000
13.445837,-6.833052,-0.373495,71855012151569.000000
14.192827,-6.890512,-0.483629,71855032672142.000000
15.265430,-6.756437,-0.239420,71855073434798.000000
11.817780,-5.530606,0.569820,71855112468496.000000
11.434708,-5.214571,0.301669,71855132040684.000000
12.382812,-5.295974,-0.090980,71855153780007.000000
13.900735,-5.267244,-0.948104,71855171998132.000000
