x,y,z,time
0.276123,0.137000,0.573486,71848404980634.000000
0.646765,0.476843,1.229810,71848605214592.000000
-0.184790,-0.011682,-0.824121,71848806113863.000000
-2.121899,0.614905,-2.166504,71849006277926.000000
-0.366394,-0.049915,-2.130396,71849206757248.000000
0.861292,-0.645703,0.785889,71849406325321.000000
3.803064,0.771021,2.933276,71849606324905.000000
1.101306,1.046082,2.441565,71849806680009.000000
-0.145496,-1.087500,-2.166504,71850006744852.000000
-2.805835,0.082837,-2.465991,71850206966154.000000
-0.363208,-0.248511,-1.756567,71850407294383.000000
0.866602,-0.477905,1.914807,71850607375060.000000
2.287573,1.074756,3.005493,71850807586571.000000
0.482153,0.865540,1.722583,71851008377612.000000
-1.978528,-0.107263,-1.205383,71851408445581.000000
-0.808191,-0.141248,-1.802234,71851608459643.000000
1.741699,-0.318604,2.212170,71851809921466.000000
0.902710,0.806067,3.599158,71852009382872.000000
0.178418,0.036108,-0.305859,71852209507716.000000
-3.898645,0.121069,-4.874634,71852409310372.000000
-0.150806,0.430115,-1.083252,71852610609331.000000
-0.338782,-0.511890,-0.079651,71852810419278.000000
3.721289,-0.448169,3.020361,71853010781726.000000
1.304150,0.849609,2.538208,71853211693549.000000
-0.957935,-0.880408,-2.711316,71853411375945.000000
-2.621045,0.013806,-1.836218,71853611525059.000000
-0.812439,0.035046,-0.973865,71853811499799.000000
0.476843,-0.215588,1.709839,71854011051726.000000
1.602576,0.758276,2.198364,71854211292090.000000
0.484277,0.560742,1.140601,71854412301569.000000
-2.462805,-0.362146,-3.370825,71854613477507.000000
-2.216419,0.166736,-0.983423,71854811933913.000000
-1.091748,-0.146558,-1.648242,71855012151569.000000
1.857458,-0.117883,2.710254,71855212390632.000000
1.755505,0.688184,2.913098,71855412521829.000000
-0.020178,0.321790,0.747656,71855612770892.000000
-1.708777,-1.000415,-4.780115,71855814372871.000000
-1.295654,0.417371,-0.488525,71856013202506.000000
-0.608533,-0.230457,-1.297778,71856214166412.000000
3.286926,0.217712,2.955579,71856413646621.000000
1.031213,1.058826,3.163733,71856615597246.000000
-0.369580,-1.093872,-2.298193,71856814751829.000000
-2.690076,0.232581,-1.378491,71857014972454.000000
-2.102783,-0.012744,-0.593665,71857216100110.000000
0.471533,-0.613843,1.631250,71857415409745.000000
1.756567,0.007434,2.054993,71857615917037.000000
0.637207,-0.011682,0.021240,71857815903287.000000
-2.182434,-0.518262,-4.092993,71858016034381.000000
-2.154822,0.583044,-0.248511,71858216981724.000000
0.341968,-0.418433,-1.423096,71858416533443.000000
2.164380,0.299487,2.481921,71858616715943.000000
1.379553,0.472595,1.973218,71858817155474.000000
-0.585168,-0.615967,-1.834094,71859017201568.000000
-1.538855,-0.066907,-1.132105,71859217350995.000000
-0.132751,-0.198596,-1.000415,71859419295370.000000
0.348340,-0.463037,1.460266,71859619499536.000000
1.587708,1.356189,2.428821,71859819729172.000000
-0.295239,0.761462,2.474487,71860019944015.000000
-0.088147,-1.488940,-3.890149,71860220129432.000000
-1.565405,-0.752966,-0.508704,71860418622088.000000
-0.823059,-0.318604,-2.087915,71860618851932.000000
2.098535,-0.066907,2.326868,71860819091307.000000
1.324329,0.868726,2.810083,71861019310369.000000
-1.445398,0.374890,-0.544812,71861220469223.000000
-1.118298,-0.862354,-2.221729,71861419713077.000000
-0.392944,-0.128503,-1.536731,71861619930160.000000
-1.279724,0.259131,-0.858105,71861821291671.000000
2.686890,0.448169,2.324744,71862020994379.000000
0.797571,0.847485,2.751673,71862220583806.000000
-0.312231,-0.958997,-2.268457,71862422193285.000000
-1.784180,-0.364270,-0.980237,71862621502139.000000
-0.435425,-0.503394,-1.814978,71862822751827.000000
