x,y,z,time
0.478967,0.374890,1.630188,73407693034050.000000
-0.722168,-1.235120,-3.981482,73407894452748.000000
-2.091101,0.054163,-1.985962,73408093478841.000000
-0.277185,-0.005310,-0.781641,73408293673112.000000
1.133167,-0.396130,2.703882,73408494323945.000000
1.381677,0.879346,2.851501,73408694098685.000000
0.457727,0.290991,1.459204,73408895666289.000000
-0.972803,-1.154407,-4.442395,73409095359466.000000
-2.066675,0.321790,-1.303088,73409294800299.000000
-1.013159,0.142310,-1.086438,73409495009362.000000
0.731726,-0.677563,1.947729,73409696439466.000000
1.654614,0.343030,2.980005,73409897253320.000000
0.699866,0.357898,1.817102,73410095619934.000000
-0.097705,-0.945190,-3.450476,73410296458580.000000
-2.014636,0.040356,-0.958997,73410497831340.000000
-0.367456,-0.123193,-1.932861,73410696357434.000000
0.925012,-0.279309,2.948145,73410896763788.000000
1.577087,0.741284,2.234473,73411096998736.000000
1.015283,0.055225,0.808191,73411297708111.000000
-0.543750,-1.211755,-2.889734,73411497135194.000000
-1.491064,-0.300549,-1.254236,73411697509152.000000
-0.336658,0.148682,-0.380200,73411898833736.000000
0.590479,0.054163,1.514429,73412098386079.000000
0.755090,0.470471,2.232349,73412299119152.000000
-0.208154,-0.055225,0.081775,73412498226079.000000
-1.640808,-0.295239,-3.632080,73412698829308.000000
-0.710486,0.023364,-0.724292,73412898661027.000000
-0.082837,0.057349,0.247449,73413099318319.000000
1.224500,-0.459851,1.653552,73413299087225.000000
0.438611,0.407813,2.075171,73413500055714.000000
-0.584106,-0.003186,-0.757214,73413699531339.000000
-1.567529,-0.006372,-2.789905,73413899721964.000000
-1.302026,0.384448,-0.991919,73414099968474.000000
0.200720,-0.202844,-0.544812,73414300938214.000000
1.992334,-0.333472,2.119776,73414502170089.000000
0.535254,0.739160,3.267810,73414700978526.000000
0.026550,-0.230457,-0.908020,73414902260714.000000
-3.019299,0.033984,-3.776514,73415101068630.000000
-0.507642,0.071155,-1.089624,73415301313578.000000
-0.467285,0.050977,-0.008496,73415501553422.000000
1.573901,-0.749780,2.059241,73415701708526.000000
1.043958,0.377014,2.619983,73415901894880.000000
-0.245325,-0.193286,-0.450293,73416102535192.000000
-1.280786,-0.738098,-3.695801,73416302341390.000000
-0.981299,0.225146,-0.246387,73416502597119.000000
-0.268689,0.055225,-0.666943,73416702796494.000000
0.835803,-0.491711,0.609595,73416903505296.000000
1.292468,0.279309,2.954517,73417103223682.000000
0.632959,0.159302,0.820935,73417303560713.000000
-1.333887,-0.321790,-3.570483,73417503641650.000000
-1.138477,0.315417,-0.305859,73417703855817.000000
-0.427991,-0.003186,-1.367871,73417904966390.000000
0.980237,-0.499146,1.478320,73418104676962.000000
1.523987,0.227271,3.080896,73418304518317.000000
0.509766,-0.011682,0.469409,73418506476077.000000
-1.959412,-0.391882,-3.587476,73418705423160.000000
-0.981299,0.023364,-0.515076,73418905172223.000000
-0.050977,-0.010620,-0.827307,73419105814462.000000
1.106616,-0.358960,1.779932,73419306556493.000000
0.849609,0.607471,2.330054,73419505886181.000000
0.332410,0.045667,0.249573,73419707019045.000000
-2.425635,-0.383386,-3.440918,73419906724618.000000
-1.248926,0.127441,-0.379138,73420106528628.000000
-0.586230,0.131689,-0.618091,73420307243837.000000
1.326453,-0.503394,0.640393,73420506969357.000000
1.350879,0.213464,3.073462,73420707137014.000000
0.125317,0.045667,0.048853,73420908365711.000000
-1.962598,0.031860,-3.506763,73421107544305.000000
-1.152283,0.371704,-0.281433,73421309078107.000000
-0.197534,-0.077527,-1.132105,73421509730242.000000
1.905249,-0.460913,1.236182,73421708987065.000000
1.008911,0.418433,3.379321,73421908410451.000000
0.143372,-0.123193,-0.522510,73422108622586.000000
-1.683289,-0.377014,-3.351709,73422308874044.000000
-0.099829,-0.167798,-1.060950,73422509055190.000000
-0.208154,-0.054163,-0.817749,73422709744200.000000
1.510181,-0.056287,1.842590,73422910782065.000000
0.620215,0.592603,2.606177,73423109756075.000000
0.038232,-0.337720,-0.161426,73423309924513.000000
-2.984253,-0.202844,-2.978943,73423510163315.000000
-0.480029,0.143372,-1.143787,73423710903731.000000
-0.677563,0.057349,-0.489587,73423912333262.000000
2.594495,-0.373828,1.859583,73424112059512.000000
-0.328162,-0.351526,-0.838989,73424512836960.000000
-2.376782,0.248511,-2.577502,73424712275814.000000
-0.328162,0.127441,-1.939233,73424911678002.000000
-0.665881,-0.273999,-0.253821,73425111869876.000000
2.669898,-0.382324,2.913098,73425312102272.000000
0.931384,0.760400,2.406519,73425513178783.000000
-0.283557,-0.713672,-1.302026,73425712522064.000000
-2.467053,0.033984,-2.286511,73425912757168.000000
-0.550122,-0.127441,-1.475134,73426112957168.000000
-0.670129,-0.204968,0.799695,73426313978522.000000
3.546057,-0.316480,1.923303,73426513395136.000000
0.568176,0.880408,2.377844,73426714030970.000000
-0.143372,-0.903772,-2.053931,73426913839824.000000
-1.982776,-0.047791,-0.902710,73427115800449.000000
-0.672253,-0.062659,-1.213879,73427314957532.000000
-0.507642,-0.131689,0.374890,73427514702740.000000
2.851501,0.072217,2.465991,73427715074198.000000
0.468347,0.697742,1.972156,73427914915032.000000
-0.250635,-0.724292,-2.615735,73428115165292.000000
-1.892505,0.099829,-0.979175,73428315371177.000000
-0.577734,0.032922,-1.342383,73428515592427.000000
-0.258069,-0.384448,1.573901,73428715881750.000000
3.518445,-0.677563,1.907373,73428916239823.000000
0.440735,0.696680,1.391235,73429117387896.000000
0.271875,-0.871912,-2.531836,73429316574302.000000
-1.965784,0.167798,-0.323914,73429516726073.000000
0.542688,-0.126379,-0.775269,73429716925135.000000
-0.457727,-0.029736,0.607471,73429917085448.000000
1.646118,0.221960,1.985962,73430117287583.000000
0.201782,0.490649,1.172461,73430317990447.000000
-0.526758,-0.678626,-2.942835,73430517727062.000000
-2.135706,0.520386,0.234705,73430718754354.000000
0.143372,-0.215588,-0.860229,73430918173103.000000
0.832617,-0.482153,0.157178,73431119271228.000000
0.094519,0.795447,2.499976,73431318602270.000000
0.053101,0.283557,0.364270,73431518831228.000000
-1.018469,-0.529944,-3.008679,73431719115499.000000
-0.690308,0.268689,-0.109387,73431919238259.000000
-0.944128,0.081775,-0.672253,73432119462582.000000
0.763586,-0.410999,0.619153,73432319753520.000000
1.060950,0.531006,2.310938,73432521635186.000000
-0.374890,-0.045667,-0.108325,73432720656957.000000
-1.576025,0.001062,-1.964722,73432920863676.000000
0.730664,-0.131689,-0.816687,73433120539665.000000
-0.963245,0.105139,-0.543750,73433321560707.000000
1.784180,-0.552246,1.276538,73433521764509.000000
0.935632,0.389758,2.126148,73433722143415.000000
-0.153992,-0.354712,-0.914392,73433921427113.000000
-1.951978,0.388696,-1.040771,73434122661227.000000
-0.307983,0.112573,-1.019531,73434322243310.000000
-1.083252,-0.332410,-0.344092,73434522098258.000000
0.329224,0.605347,1.936047,73434924280446.000000
-0.172046,-0.184790,-1.098120,73435123243623.000000
-1.419910,0.087085,-0.871912,73435323808623.000000
-0.254883,-0.007434,-1.122546,73435523172060.000000
-0.815625,-0.018054,-0.774207,73435724408727.000000
1.687537,-0.336658,1.716211,73435924482216.000000
1.546289,0.423743,2.129333,73436123823883.000000
-0.887842,-0.054163,-1.244678,73436324020601.000000
-1.993396,0.127441,-0.672253,73436524499612.000000
-1.080066,0.005310,-1.477258,73436725137112.000000
-1.633374,-0.161426,-0.672253,73436924661122.000000
2.876990,-0.121069,2.233411,73437125672111.000000
-0.130627,0.970679,2.316248,73437325095757.000000
0.368518,-0.897400,-2.116589,73437525580080.000000
-3.200903,0.227271,-1.326453,73437725573257.000000
