x,y,z,time
7.943961,-3.433285,-0.938527,73407593136914.000000
6.895301,-3.251326,-0.201113,73407733920248.000000
8.336611,-3.892972,0.517148,73407772102019.000000
12.066776,-5.008670,0.924162,73407812714206.000000
13.441049,-4.999093,0.837971,73407833366550.000000
14.125790,-5.219360,0.943315,73407852200768.000000
13.814544,-5.161899,1.244985,73407872882956.000000
15.231912,-5.779603,1.968034,73407913847487.000000
15.595830,-6.148310,1.608904,73407932319571.000000
13.895947,-5.755661,0.517148,73407993634727.000000
12.612655,-5.511452,1.235408,73408012406810.000000
11.348516,-5.880159,1.723825,73408033047852.000000
8.719683,-6.344635,1.575385,73408073005300.000000
7.268796,-5.817910,0.933739,73408113060716.000000
6.785168,-5.453991,0.900220,73408154149414.000000
6.675035,-5.410896,0.957681,73408172584779.000000
6.746861,-5.425261,1.216254,73408193132591.000000
6.852205,-5.458780,1.335965,73408213898893.000000
6.991069,-5.698200,1.661576,73408252635820.000000
9.801862,-6.138733,1.244985,73408293673112.000000
11.841722,-6.119579,1.048660,73408332969675.000000
12.488156,-5.640739,1.043872,73408354770872.000000
13.532028,-5.760449,1.173159,73408372829883.000000
14.547170,-5.717354,1.436521,73408393883320.000000
15.112201,-5.865794,1.359907,73408414143893.000000
14.628572,-6.138733,1.120486,73408453317279.000000
13.091495,-5.856217,0.924162,73408473834570.000000
13.239936,-5.774815,0.660800,73408494323945.000000
14.346057,-5.913678,0.560243,73408513505977.000000
14.815320,-5.166687,-0.057461,73408555407383.000000
14.451402,-4.395754,-0.421380,73408573286029.000000
13.579912,-3.988740,-0.794875,73408613585768.000000
11.228806,-2.906561,-0.521936,73408653492435.000000
10.132261,-2.791639,-0.608127,73408673742539.000000
9.289502,-2.806004,-0.526724,73408694098685.000000
8.844181,-3.021482,-0.421380,73408714128424.000000
8.623915,-3.122039,-0.656011,73408733194206.000000
6.186617,-2.801216,-0.555455,73408833830456.000000
6.406884,-2.748544,-0.378284,73408853318424.000000
6.914454,-2.748544,-0.248997,73408873875924.000000
6.641516,-3.141193,-0.181959,73408913908060.000000
6.512228,-3.557784,0.454898,73408933417383.000000
10.443508,-5.434838,1.886631,73408974962851.000000
13.096283,-5.726931,1.814805,73409014201028.000000
14.346057,-5.789180,1.853112,73409053502122.000000
14.925453,-6.009446,2.518700,73409074091237.000000
15.380352,-6.502652,1.843535,73409114176862.000000
14.618996,-5.975927,1.125275,73409135019622.000000
13.330915,-5.425261,0.469264,73409154166601.000000
12.310986,-4.922479,0.550666,73409174628112.000000
10.366894,-4.946421,1.029507,73409213828997.000000
7.886500,-5.449203,1.067814,73409254203633.000000
7.393295,-5.372589,0.885855,73409274976966.000000
7.125144,-5.420473,0.588974,73409294800299.000000
6.986280,-5.157111,0.459687,73409314338997.000000
7.460332,-5.027823,1.053449,73409355012643.000000
7.824251,-5.066131,1.599327,73409373876237.000000
7.532158,-5.090073,1.733402,73409394493007.000000
11.468226,-6.325481,1.278504,73409495009362.000000
11.573571,-5.937620,1.096544,73409534072955.000000
13.374011,-5.779603,1.493982,73409574946132.000000
14.106636,-6.248867,1.029507,73409615136549.000000
11.908759,-5.889736,1.015141,73409634690872.000000
11.573571,-5.951985,1.077391,73409674835195.000000
12.526464,-6.162675,0.837971,73409696439466.000000
13.220781,-5.094861,-0.292093,73409755258059.000000
13.311762,-4.750096,-0.430956,73409774321757.000000
13.565547,-3.730166,-0.579397,73409794887226.000000
10.414778,-2.987964,-0.205901,73409854831445.000000
9.787497,-3.026271,-0.277727,73409875350351.000000
9.414001,-3.078943,-0.421380,73409897253320.000000
9.006987,-3.136404,-0.407014,73409915806497.000000
7.153875,-3.007117,-0.526724,73409995148320.000000
8.063671,-3.179500,0.004788,73410054588111.000000
8.101978,-3.284845,-0.095768,73410095619934.000000
8.101978,-3.284845,-0.095768,73410115343476.000000
7.833828,-3.423708,0.521936,73410134674361.000000
9.725247,-4.424485,1.618480,73410175073841.000000
11.583148,-4.764462,1.584962,73410195354518.000000
12.306197,-4.098873,1.019930,73410237239361.000000
11.597513,-3.778050,1.297657,73410254797747.000000
8.039729,-5.008670,0.612916,73410455024882.000000
7.010222,-5.190629,0.263362,73410497831340.000000
6.756437,-5.137957,0.287304,73410515808424.000000
7.723695,-4.970363,0.675165,73410555700507.000000
7.857770,-4.946421,1.379060,73410595733215.000000
